problem,definition,episodes,N,f1,f1_over_N,distinct_answers,freeze_eligible,frozen_at
misc4,best_a,26,26,0,0.0,2,False,
misc4,best_b,26,26,0,0.0,1,False,
misc4,best_a,27,27,0,0.0,2,False,
misc4,best_b,27,27,0,0.0,1,False,
misc4,best_a,28,28,0,0.0,2,False,
misc4,best_b,28,28,0,0.0,1,False,
misc4,best_a,29,29,0,0.0,2,False,
misc4,best_b,29,29,0,0.0,1,False,
misc4,best_a,30,30,0,0.0,2,False,
misc4,best_b,30,30,0,0.0,1,False,
misc4,best_a,31,31,0,0.0,2,False,
misc4,best_b,31,31,0,0.0,1,False,
misc4,best_a,32,32,0,0.0,2,False,
misc4,best_b,32,32,0,0.0,1,False,
misc4,best_a,33,33,0,0.0,2,False,
misc4,best_b,33,33,0,0.0,1,False,
misc4,best_a,34,34,0,0.0,2,False,
misc4,best_b,34,34,0,0.0,1,False,
misc4,best_a,35,35,0,0.0,2,False,
misc4,best_b,35,35,0,0.0,1,False,
misc4,best_a,36,36,0,0.0,2,False,
misc4,best_b,36,36,0,0.0,1,False,
misc4,best_a,37,37,0,0.0,2,False,
misc4,best_b,37,37,0,0.0,1,False,
misc4,best_a,38,38,0,0.0,2,False,
misc4,best_b,38,38,0,0.0,1,False,
misc4,best_a,39,39,0,0.0,2,False,
misc4,best_b,39,39,0,0.0,1,False,
misc4,best_a,40,40,0,0.0,2,False,
misc4,best_b,40,40,0,0.0,1,False,
misc4,best_a,41,41,0,0.0,2,False,
misc4,best_b,41,41,0,0.0,1,False,
misc4,best_a,42,42,0,0.0,2,False,
misc4,best_b,42,42,0,0.0,1,False,
misc4,best_a,43,43,0,0.0,2,False,
misc4,best_b,43,43,0,0.0,1,False,
misc4,best_a,44,44,0,0.0,2,False,
misc4,best_b,44,44,0,0.0,1,False,
misc4,best_a,45,45,0,0.0,2,False,
misc4,best_b,45,45,0,0.0,1,False,
misc4,best_a,46,46,0,0.0,2,False,
misc4,best_b,46,46,0,0.0,1,False,
misc4,best_a,47,47,0,0.0,2,False,
misc4,best_b,47,47,0,0.0,1,False,
misc4,best_a,48,48,0,0.0,2,False,
misc4,best_b,48,48,0,0.0,1,False,
misc4,best_a,49,49,0,0.0,2,False,
misc4,best_b,49,49,0,0.0,1,False,
misc4,best_a,50,50,0,0.0,2,False,
misc4,best_b,50,50,0,0.0,1,False,
misc4,best_a,51,51,0,0.0,2,False,
misc4,best_b,51,51,0,0.0,1,False,
misc4,best_a,52,52,0,0.0,2,False,
misc4,best_b,52,52,0,0.0,1,False,
misc4,best_a,53,53,0,0.0,2,False,
misc4,best_b,53,53,0,0.0,1,False,
misc4,best_a,54,54,0,0.0,2,False,
misc4,best_b,54,54,0,0.0,1,False,
misc4,best_a,55,55,0,0.0,2,False,
misc4,best_b,55,55,0,0.0,1,False,
misc4,best_a,56,56,0,0.0,2,False,
misc4,best_b,56,56,0,0.0,1,False,
misc4,best_a,57,57,0,0.0,2,False,
misc4,best_b,57,57,0,0.0,1,False,
misc4,best_a,58,58,0,0.0,2,False,
misc4,best_b,58,58,0,0.0,1,False,
misc4,best_a,59,59,0,0.0,2,False,
misc4,best_b,59,59,0,0.0,1,False,
misc4,best_a,60,60,0,0.0,2,False,
misc4,best_b,60,60,0,0.0,1,False,
misc4,best_a,61,61,0,0.0,2,False,
misc4,best_b,61,61,0,0.0,1,False,
misc4,best_a,62,62,0,0.0,2,False,
misc4,best_b,62,62,0,0.0,1,False,
misc4,best_a,63,63,0,0.0,2,False,
misc4,best_b,63,63,0,0.0,1,False,
misc4,best_a,64,64,0,0.0,2,False,
misc4,best_b,64,64,0,0.0,1,False,
misc4,best_a,65,65,0,0.0,2,False,
misc4,best_b,65,65,0,0.0,1,False,
misc4,best_a,66,66,0,0.0,2,False,
misc4,best_b,66,66,0,0.0,1,False,
misc4,best_a,67,67,0,0.0,2,False,
misc4,best_b,67,67,0,0.0,1,False,
misc4,best_a,68,68,0,0.0,2,False,
misc4,best_b,68,68,0,0.0,1,False,
misc4,best_a,69,69,0,0.0,2,False,
misc4,best_b,69,69,0,0.0,1,False,
misc4,best_a,70,70,0,0.0,2,False,
misc4,best_b,70,70,0,0.0,1,False,
misc4,best_a,71,71,0,0.0,2,False,
misc4,best_b,71,71,0,0.0,1,False,
misc4,best_a,72,72,0,0.0,2,False,
misc4,best_b,72,72,0,0.0,1,False,
misc4,best_a,73,73,0,0.0,2,False,
misc4,best_b,73,73,0,0.0,1,False,
misc4,best_a,74,74,0,0.0,2,False,
misc4,best_b,74,74,0,0.0,1,False,
misc4,best_a,75,75,0,0.0,2,False,
misc4,best_b,75,75,0,0.0,1,False,
misc4,best_a,76,76,0,0.0,2,False,
misc4,best_b,76,76,0,0.0,1,False,
misc4,best_a,77,77,0,0.0,2,False,
misc4,best_b,77,77,0,0.0,1,False,
misc4,best_a,78,78,0,0.0,2,False,
misc4,best_b,78,78,0,0.0,1,False,
misc4,best_a,79,79,0,0.0,2,False,
misc4,best_b,79,79,0,0.0,1,False,
misc4,best_a,80,80,0,0.0,2,False,
misc4,best_b,80,80,0,0.0,1,False,
misc4,best_a,81,81,0,0.0,2,False,
misc4,best_b,81,81,0,0.0,1,False,
misc4,best_a,82,82,0,0.0,2,False,
misc4,best_b,82,82,0,0.0,1,False,
misc4,best_a,83,83,0,0.0,2,False,
misc4,best_b,83,83,0,0.0,1,False,
misc4,best_a,84,84,0,0.0,2,False,
misc4,best_b,84,84,0,0.0,1,False,
misc4,best_a,85,85,0,0.0,2,False,
misc4,best_b,85,85,0,0.0,1,False,
misc4,best_a,86,86,0,0.0,2,False,
misc4,best_b,86,86,0,0.0,1,False,
misc4,best_a,87,87,0,0.0,2,False,
misc4,best_b,87,87,0,0.0,1,False,
misc4,best_a,88,88,0,0.0,2,False,
misc4,best_b,88,88,0,0.0,1,False,
misc4,best_a,89,89,0,0.0,2,False,
misc4,best_b,89,89,0,0.0,1,False,
misc4,best_a,90,90,0,0.0,2,False,
misc4,best_b,90,90,0,0.0,1,False,
misc4,best_a,91,91,0,0.0,2,False,
misc4,best_b,91,91,0,0.0,1,False,
misc4,best_a,92,92,0,0.0,2,False,
misc4,best_b,92,92,0,0.0,1,False,
misc4,best_a,93,93,0,0.0,2,False,
misc4,best_b,93,93,0,0.0,1,False,
misc4,best_a,94,94,0,0.0,2,False,
misc4,best_b,94,94,0,0.0,1,False,
misc4,best_a,95,95,0,0.0,2,False,
misc4,best_b,95,95,0,0.0,1,False,
misc4,best_a,96,96,0,0.0,2,False,
misc4,best_b,96,96,0,0.0,1,False,
misc4,best_a,97,97,0,0.0,2,False,
misc4,best_b,97,97,0,0.0,1,False,
misc4,best_a,98,98,0,0.0,2,False,
misc4,best_b,98,98,0,0.0,1,False,
misc4,best_a,99,99,0,0.0,2,False,
misc4,best_b,99,99,0,0.0,1,False,
misc4,best_a,100,100,0,0.0,2,False,
misc4,best_b,100,100,0,0.0,1,False,
misc4,best_a,101,101,0,0.0,2,False,
misc4,best_b,101,101,0,0.0,1,False,
misc4,best_a,102,102,0,0.0,2,False,
misc4,best_b,102,102,0,0.0,1,False,
misc4,best_a,103,103,0,0.0,2,False,
misc4,best_b,103,103,0,0.0,1,False,
misc4,best_a,104,104,0,0.0,2,False,
misc4,best_b,104,104,0,0.0,1,False,
misc4,best_a,105,105,0,0.0,2,False,
misc4,best_b,105,105,0,0.0,1,False,
misc4,best_a,106,106,0,0.0,2,False,
misc4,best_b,106,106,0,0.0,1,False,
misc4,best_a,107,107,0,0.0,2,False,
misc4,best_b,107,107,0,0.0,1,False,
misc4,best_a,108,108,0,0.0,2,False,
misc4,best_b,108,108,0,0.0,1,False,
misc4,best_a,109,109,0,0.0,2,False,
misc4,best_b,109,109,0,0.0,1,False,
misc4,best_a,110,110,0,0.0,2,False,
misc4,best_b,110,110,0,0.0,1,False,
misc4,best_a,111,111,0,0.0,2,False,
misc4,best_b,111,111,0,0.0,1,False,
misc4,best_a,112,112,0,0.0,2,False,
misc4,best_b,112,112,0,0.0,1,False,
misc4,best_a,113,113,0,0.0,2,False,
misc4,best_b,113,113,0,0.0,1,False,
misc4,best_a,114,114,0,0.0,2,False,
misc4,best_b,114,114,0,0.0,1,False,
misc4,best_a,115,115,0,0.0,2,False,
misc4,best_b,115,115,0,0.0,1,False,
misc4,best_a,116,116,0,0.0,2,False,
misc4,best_b,116,116,0,0.0,1,False,
misc4,best_a,117,117,0,0.0,2,False,
misc4,best_b,117,117,0,0.0,1,False,
misc4,best_a,118,118,0,0.0,2,False,
misc4,best_b,118,118,0,0.0,1,False,
misc4,best_a,119,119,0,0.0,2,False,
misc4,best_b,119,119,0,0.0,1,False,
misc4,best_a,120,120,0,0.0,2,False,
misc4,best_b,120,120,0,0.0,1,False,
misc4,best_a,121,121,0,0.0,2,False,
misc4,best_b,121,121,0,0.0,1,False,
misc4,best_a,122,122,0,0.0,2,False,
misc4,best_b,122,122,0,0.0,1,False,
misc4,best_a,123,123,0,0.0,2,False,
misc4,best_b,123,123,0,0.0,1,False,
misc4,best_a,124,124,0,0.0,2,False,
misc4,best_b,124,124,0,0.0,1,False,
misc4,best_a,125,125,0,0.0,2,False,
misc4,best_b,125,125,0,0.0,1,False,
misc4,best_a,126,126,0,0.0,2,False,
misc4,best_b,126,126,0,0.0,1,False,
misc4,best_a,127,127,0,0.0,2,False,
misc4,best_b,127,127,0,0.0,1,False,
misc4,best_a,128,128,0,0.0,2,False,
misc4,best_b,128,128,0,0.0,1,False,
misc4,best_a,129,129,0,0.0,2,False,
misc4,best_b,129,129,0,0.0,1,False,
misc4,best_a,130,130,0,0.0,2,False,
misc4,best_b,130,130,0,0.0,1,False,
misc4,best_a,131,131,0,0.0,2,False,
misc4,best_b,131,131,0,0.0,1,False,
misc4,best_a,132,132,0,0.0,2,False,
misc4,best_b,132,132,0,0.0,1,False,
misc4,best_a,133,133,0,0.0,2,False,
misc4,best_b,133,133,0,0.0,1,False,
misc4,best_a,134,134,0,0.0,2,False,
misc4,best_b,134,134,0,0.0,1,False,
misc4,best_a,135,135,0,0.0,2,False,
misc4,best_b,135,135,0,0.0,1,False,
misc4,best_a,136,136,0,0.0,2,False,
misc4,best_b,136,136,0,0.0,1,False,
misc4,best_a,137,137,0,0.0,2,False,
misc4,best_b,137,137,0,0.0,1,False,
misc4,best_a,138,138,0,0.0,2,False,
misc4,best_b,138,138,0,0.0,1,False,
misc4,best_a,139,139,0,0.0,2,False,
misc4,best_b,139,139,0,0.0,1,False,
misc4,best_a,140,140,0,0.0,2,False,
misc4,best_b,140,140,0,0.0,1,False,
misc4,best_a,141,141,0,0.0,2,False,
misc4,best_b,141,141,0,0.0,1,False,
misc4,best_a,142,142,0,0.0,2,False,
misc4,best_b,142,142,0,0.0,1,False,
misc4,best_a,143,143,0,0.0,2,False,
misc4,best_b,143,143,0,0.0,1,False,
misc4,best_a,144,144,0,0.0,2,False,
misc4,best_b,144,144,0,0.0,1,False,
misc4,best_a,145,145,0,0.0,2,False,
misc4,best_b,145,145,0,0.0,1,False,
misc4,best_a,146,146,0,0.0,2,False,
misc4,best_b,146,146,0,0.0,1,False,
misc4,best_a,147,147,0,0.0,2,False,
misc4,best_b,147,147,0,0.0,1,False,
misc4,best_a,148,148,0,0.0,2,False,
misc4,best_b,148,148,0,0.0,1,False,
misc4,best_a,149,149,0,0.0,2,False,
misc4,best_b,149,149,0,0.0,1,False,
misc4,best_a,150,150,0,0.0,2,False,
misc4,best_b,150,150,0,0.0,1,False,
misc4,best_a,151,151,0,0.0,2,False,
misc4,best_b,151,151,0,0.0,1,False,
misc4,best_a,152,152,0,0.0,2,False,
misc4,best_b,152,152,0,0.0,1,False,
misc4,best_a,153,153,0,0.0,2,False,
misc4,best_b,153,153,0,0.0,1,False,
misc4,best_a,154,154,0,0.0,2,False,
misc4,best_b,154,154,0,0.0,1,False,
misc4,best_a,155,155,0,0.0,2,False,
misc4,best_b,155,155,0,0.0,1,False,
misc4,best_a,156,156,0,0.0,2,False,
misc4,best_b,156,156,0,0.0,1,False,
misc4,best_a,157,157,0,0.0,2,False,
misc4,best_b,157,157,0,0.0,1,False,
misc4,best_a,158,158,0,0.0,2,False,
misc4,best_b,158,158,0,0.0,1,False,
misc4,best_a,159,159,0,0.0,2,False,
misc4,best_b,159,159,0,0.0,1,False,
misc4,best_a,160,160,0,0.0,2,False,
misc4,best_b,160,160,0,0.0,1,False,
misc4,best_a,161,161,0,0.0,2,False,
misc4,best_b,161,161,0,0.0,1,False,
misc4,best_a,162,162,0,0.0,2,False,
misc4,best_b,162,162,0,0.0,1,False,
misc4,best_a,163,163,0,0.0,2,False,
misc4,best_b,163,163,0,0.0,1,False,
misc4,best_a,164,164,0,0.0,2,False,
misc4,best_b,164,164,0,0.0,1,False,
misc4,best_a,165,165,0,0.0,2,False,
misc4,best_b,165,165,0,0.0,1,False,
misc4,best_a,166,166,0,0.0,2,False,
misc4,best_b,166,166,0,0.0,1,False,
misc4,best_a,167,167,0,0.0,2,False,
misc4,best_b,167,167,0,0.0,1,False,
misc4,best_a,168,168,0,0.0,2,False,
misc4,best_b,168,168,0,0.0,1,False,
misc4,best_a,169,169,0,0.0,2,False,
misc4,best_b,169,169,0,0.0,1,False,
misc4,best_a,170,170,0,0.0,2,False,
misc4,best_b,170,170,0,0.0,1,False,
misc4,best_a,171,171,0,0.0,2,False,
misc4,best_b,171,171,0,0.0,1,False,
misc4,best_a,172,172,0,0.0,2,False,
misc4,best_b,172,172,0,0.0,1,False,
misc4,best_a,173,173,0,0.0,2,False,
misc4,best_b,173,173,0,0.0,1,False,
misc4,best_a,174,174,0,0.0,2,False,
misc4,best_b,174,174,0,0.0,1,False,
misc4,best_a,175,175,0,0.0,2,False,
misc4,best_b,175,175,0,0.0,1,False,
misc4,best_a,176,176,0,0.0,2,False,
misc4,best_b,176,176,0,0.0,1,False,
misc4,best_a,177,177,0,0.0,2,False,
misc4,best_b,177,177,0,0.0,1,False,
misc4,best_a,178,178,0,0.0,2,False,
misc4,best_b,178,178,0,0.0,1,False,
misc4,best_a,179,179,0,0.0,2,False,
misc4,best_b,179,179,0,0.0,1,False,
misc4,best_a,180,180,0,0.0,2,False,
misc4,best_b,180,180,0,0.0,1,False,
misc4,best_a,181,181,0,0.0,2,False,
misc4,best_b,181,181,0,0.0,1,False,
misc4,best_a,182,182,0,0.0,2,False,
misc4,best_b,182,182,0,0.0,1,False,
misc4,best_a,183,183,0,0.0,2,False,
misc4,best_b,183,183,0,0.0,1,False,
misc4,best_a,184,184,0,0.0,2,False,
misc4,best_b,184,184,0,0.0,1,False,
misc4,best_a,185,185,0,0.0,2,False,
misc4,best_b,185,185,0,0.0,1,False,
misc4,best_a,186,186,0,0.0,2,False,
misc4,best_b,186,186,0,0.0,1,False,
misc4,best_a,187,187,0,0.0,2,False,
misc4,best_b,187,187,0,0.0,1,False,
misc4,best_a,188,188,0,0.0,2,False,
misc4,best_b,188,188,0,0.0,1,False,
misc4,best_a,189,189,0,0.0,2,False,
misc4,best_b,189,189,0,0.0,1,False,
misc4,best_a,190,190,0,0.0,2,False,
misc4,best_b,190,190,0,0.0,1,False,
misc4,best_a,191,191,0,0.0,2,False,
misc4,best_b,191,191,0,0.0,1,False,
misc4,best_a,192,192,0,0.0,2,False,
misc4,best_b,192,192,0,0.0,1,False,
misc4,best_a,193,193,0,0.0,2,False,
misc4,best_b,193,193,0,0.0,1,False,
misc4,best_a,194,194,0,0.0,2,False,
misc4,best_b,194,194,0,0.0,1,False,
misc4,best_a,195,195,0,0.0,2,False,
misc4,best_b,195,195,0,0.0,1,False,
misc4,best_a,196,196,0,0.0,2,False,
misc4,best_b,196,196,0,0.0,1,False,
misc4,best_a,197,197,0,0.0,2,False,
misc4,best_b,197,197,0,0.0,1,False,
misc4,best_a,198,198,0,0.0,2,False,
misc4,best_b,198,198,0,0.0,1,False,
misc4,best_a,199,199,0,0.0,2,False,
misc4,best_b,199,199,0,0.0,1,False,
misc4,best_a,200,200,0,0.0,2,False,
misc4,best_b,200,200,0,0.0,1,False,
misc4,best_a,201,201,0,0.0,2,False,
misc4,best_b,201,201,0,0.0,1,False,
misc4,best_a,202,202,0,0.0,2,False,
misc4,best_b,202,202,0,0.0,1,False,
misc4,best_a,203,203,0,0.0,2,False,
misc4,best_b,203,203,0,0.0,1,False,
misc4,best_a,204,204,0,0.0,2,False,
misc4,best_b,204,204,0,0.0,1,False,
misc4,best_a,205,205,0,0.0,2,False,
misc4,best_b,205,205,0,0.0,1,False,
misc4,best_a,206,206,0,0.0,2,False,
misc4,best_b,206,206,0,0.0,1,False,
misc4,best_a,207,207,0,0.0,2,False,
misc4,best_b,207,207,0,0.0,1,False,
misc4,best_a,208,208,0,0.0,2,False,
misc4,best_b,208,208,0,0.0,1,False,
misc4,best_a,209,209,0,0.0,2,False,
misc4,best_b,209,209,0,0.0,1,False,
misc4,best_a,210,210,0,0.0,2,False,
misc4,best_b,210,210,0,0.0,1,False,
misc4,best_a,211,211,0,0.0,2,False,
misc4,best_b,211,211,0,0.0,1,False,
misc4,best_a,212,212,0,0.0,2,False,
misc4,best_b,212,212,0,0.0,1,False,
misc4,best_a,213,213,0,0.0,2,False,
misc4,best_b,213,213,0,0.0,1,False,
misc4,best_a,214,214,0,0.0,2,False,
misc4,best_b,214,214,0,0.0,1,False,
misc4,best_a,215,215,0,0.0,2,False,
misc4,best_b,215,215,0,0.0,1,False,
misc4,best_a,216,216,0,0.0,2,False,
misc4,best_b,216,216,0,0.0,1,False,
misc4,best_a,217,217,0,0.0,2,False,
misc4,best_b,217,217,0,0.0,1,False,
misc4,best_a,218,218,0,0.0,2,False,
misc4,best_b,218,218,0,0.0,1,False,
misc4,best_a,219,219,0,0.0,2,False,
misc4,best_b,219,219,0,0.0,1,False,
misc4,best_a,220,220,0,0.0,2,False,
misc4,best_b,220,220,0,0.0,1,False,
misc4,best_a,221,221,0,0.0,2,False,
misc4,best_b,221,221,0,0.0,1,False,
misc4,best_a,222,222,0,0.0,2,False,
misc4,best_b,222,222,0,0.0,1,False,
misc4,best_a,223,223,0,0.0,2,False,
misc4,best_b,223,223,0,0.0,1,False,
misc4,best_a,224,224,0,0.0,2,False,
misc4,best_b,224,224,0,0.0,1,False,
misc4,best_a,225,225,0,0.0,2,False,
misc4,best_b,225,225,0,0.0,1,False,
misc4,best_a,226,226,0,0.0,2,False,
misc4,best_b,226,226,0,0.0,1,False,
misc4,best_a,227,227,0,0.0,2,False,
misc4,best_b,227,227,0,0.0,1,False,
misc4,best_a,228,228,0,0.0,2,False,
misc4,best_b,228,228,0,0.0,1,False,
misc4,best_a,229,229,0,0.0,2,False,
misc4,best_b,229,229,0,0.0,1,False,
misc4,best_a,230,230,0,0.0,2,False,
misc4,best_b,230,230,0,0.0,1,False,
misc4,best_a,231,231,0,0.0,2,False,
misc4,best_b,231,231,1,0.004329004329004329,2,False,
misc4,best_a,232,232,0,0.0,2,False,
misc4,best_b,232,232,1,0.004310344827586207,2,False,
misc4,best_a,233,233,0,0.0,2,False,
misc4,best_b,233,233,1,0.004291845493562232,2,False,
misc4,best_a,234,234,0,0.0,2,False,
misc4,best_b,234,234,1,0.004273504273504274,2,False,
misc4,best_a,235,235,0,0.0,2,False,
misc4,best_b,235,235,1,0.00425531914893617,2,False,
misc4,best_a,236,236,0,0.0,2,False,
misc4,best_b,236,236,1,0.00423728813559322,2,False,
misc4,best_a,237,237,0,0.0,2,False,
misc4,best_b,237,237,1,0.004219409282700422,2,False,
misc4,best_a,238,238,0,0.0,2,False,
misc4,best_b,238,238,1,0.004201680672268907,2,False,
misc4,best_a,239,239,0,0.0,2,False,
misc4,best_b,239,239,1,0.0041841004184100415,2,False,
misc4,best_a,240,240,0,0.0,2,False,
misc4,best_b,240,240,1,0.004166666666666667,2,False,
misc4,best_a,241,241,0,0.0,2,False,
misc4,best_b,241,241,1,0.004149377593360996,2,False,
misc4,best_a,242,242,0,0.0,2,False,
misc4,best_b,242,242,1,0.004132231404958678,2,False,
misc4,best_a,243,243,0,0.0,2,False,
misc4,best_b,243,243,1,0.00411522633744856,2,False,
misc4,best_a,244,244,0,0.0,2,False,
misc4,best_b,244,244,1,0.004098360655737705,2,False,
misc4,best_a,245,245,0,0.0,2,False,
misc4,best_b,245,245,1,0.004081632653061225,2,False,
misc4,best_a,246,246,0,0.0,2,False,
misc4,best_b,246,246,1,0.0040650406504065045,2,False,
misc4,best_a,247,247,0,0.0,2,False,
misc4,best_b,247,247,1,0.004048582995951417,2,False,
misc4,best_a,248,248,0,0.0,2,False,
misc4,best_b,248,248,1,0.004032258064516129,2,False,
misc4,best_a,249,249,0,0.0,2,False,
misc4,best_b,249,249,1,0.004016064257028112,2,False,
misc4,best_a,250,250,0,0.0,2,False,
misc4,best_b,250,250,1,0.004,2,False,
misc4,best_a,251,251,0,0.0,2,False,
misc4,best_b,251,251,1,0.00398406374501992,2,False,
misc4,best_a,252,252,0,0.0,2,False,
misc4,best_b,252,252,1,0.003968253968253968,2,False,
misc4,best_a,253,253,0,0.0,2,False,
misc4,best_b,253,253,1,0.003952569169960474,2,False,
misc4,best_a,254,254,0,0.0,2,False,
misc4,best_b,254,254,1,0.003937007874015748,2,False,
misc4,best_a,255,255,0,0.0,2,False,
misc4,best_b,255,255,1,0.00392156862745098,2,False,
misc4,best_a,256,256,0,0.0,2,False,
misc4,best_b,256,256,1,0.00390625,2,False,
misc4,best_a,257,257,0,0.0,2,False,
misc4,best_b,257,257,1,0.0038910505836575876,2,False,
misc4,best_a,258,258,0,0.0,2,False,
misc4,best_b,258,258,1,0.003875968992248062,2,False,
misc4,best_a,259,259,0,0.0,2,False,
misc4,best_b,259,259,1,0.003861003861003861,2,False,
misc4,best_a,260,260,0,0.0,2,False,
misc4,best_b,260,260,1,0.0038461538461538464,2,False,
misc4,best_a,261,261,0,0.0,2,False,
misc4,best_b,261,261,1,0.0038314176245210726,2,False,
misc4,best_a,262,262,0,0.0,2,False,
misc4,best_b,262,262,1,0.003816793893129771,2,False,
misc4,best_a,263,263,0,0.0,2,False,
misc4,best_b,263,263,1,0.0038022813688212928,2,False,
misc4,best_a,264,264,0,0.0,2,False,
misc4,best_b,264,264,1,0.003787878787878788,2,False,
misc4,best_a,265,265,0,0.0,2,False,
misc4,best_b,265,265,1,0.0037735849056603774,2,False,
misc4,best_a,266,266,0,0.0,2,False,
misc4,best_b,266,266,1,0.0037593984962406013,2,False,
misc4,best_a,267,267,0,0.0,2,False,
misc4,best_b,267,267,1,0.003745318352059925,2,False,
misc4,best_a,268,268,0,0.0,2,False,
misc4,best_b,268,268,1,0.0037313432835820895,2,False,
misc4,best_a,269,269,0,0.0,2,False,
misc4,best_b,269,269,1,0.0037174721189591076,2,False,
misc4,best_a,270,270,0,0.0,2,False,
misc4,best_b,270,270,1,0.003703703703703704,2,False,
misc4,best_a,271,271,0,0.0,2,False,
misc4,best_b,271,271,1,0.0036900369003690036,2,False,
misc4,best_a,272,272,0,0.0,2,False,
misc4,best_b,272,272,1,0.003676470588235294,2,False,
misc4,best_a,273,273,0,0.0,2,False,
misc4,best_b,273,273,1,0.003663003663003663,2,False,
misc4,best_a,274,274,0,0.0,2,False,
misc4,best_b,274,274,1,0.0036496350364963502,2,False,
misc4,best_a,275,275,0,0.0,2,False,
misc4,best_b,275,275,1,0.0036363636363636364,2,False,
misc4,best_a,276,276,0,0.0,2,False,
misc4,best_b,276,276,1,0.0036231884057971015,2,False,
misc4,best_a,277,277,0,0.0,2,False,
misc4,best_b,277,277,1,0.0036101083032490976,2,False,
misc4,best_a,278,278,0,0.0,2,False,
misc4,best_b,278,278,1,0.0035971223021582736,2,False,
misc4,best_a,279,279,0,0.0,2,False,
misc4,best_b,279,279,1,0.0035842293906810036,2,False,
misc4,best_a,280,280,0,0.0,2,False,
misc4,best_b,280,280,1,0.0035714285714285713,2,False,
misc4,best_a,281,281,0,0.0,2,False,
misc4,best_b,281,281,1,0.0035587188612099642,2,False,
misc4,best_a,282,282,0,0.0,2,False,
misc4,best_b,282,282,1,0.0035460992907801418,2,False,
misc4,best_a,283,283,0,0.0,2,False,
misc4,best_b,283,283,1,0.0035335689045936395,2,False,
misc4,best_a,284,284,0,0.0,2,False,
misc4,best_b,284,284,1,0.0035211267605633804,2,False,
misc4,best_a,285,285,0,0.0,2,False,
misc4,best_b,285,285,1,0.0035087719298245615,2,False,
misc4,best_a,286,286,0,0.0,2,False,
misc4,best_b,286,286,1,0.0034965034965034965,2,False,
misc4,best_a,287,287,0,0.0,2,False,
misc4,best_b,287,287,1,0.003484320557491289,2,False,
misc4,best_a,288,288,0,0.0,2,False,
misc4,best_b,288,288,1,0.003472222222222222,2,False,
misc4,best_a,289,289,0,0.0,2,False,
misc4,best_b,289,289,1,0.0034602076124567475,2,False,
misc4,best_a,290,290,0,0.0,2,False,
misc4,best_b,290,290,1,0.0034482758620689655,2,False,
misc4,best_a,291,291,0,0.0,2,False,
misc4,best_b,291,291,1,0.003436426116838488,2,False,
misc4,best_a,292,292,0,0.0,2,False,
misc4,best_b,292,292,1,0.003424657534246575,2,False,
misc4,best_a,293,293,0,0.0,2,False,
misc4,best_b,293,293,1,0.0034129692832764505,2,False,
misc4,best_a,294,294,0,0.0,2,False,
misc4,best_b,294,294,1,0.003401360544217687,2,False,
misc4,best_a,295,295,0,0.0,2,False,
