problem,definition,validation_eligible,coverage_qualified,answer,reference_count,reference_fraction,port_count,port_fraction
misc3,best_b,True,False,kkjjii,6,0.5454545454545454,19,0.19
misc3,best_b,True,False,kkjjji,0,0.0,1,0.01
misc3,best_b,True,False,kkjjjiii,0,0.0,1,0.01
misc3,best_b,True,False,kkjjjiiiii,0,0.0,1,0.01
misc3,best_b,True,False,kkkji,0,0.0,4,0.04
misc3,best_b,True,False,kkkjiii,0,0.0,1,0.01
misc3,best_b,True,False,kkkjjii,0,0.0,1,0.01
misc3,best_b,True,False,kkkjjiii,0,0.0,7,0.07
misc3,best_b,True,False,kkkjjji,0,0.0,1,0.01
misc3,best_b,True,False,kkkjjjii,0,0.0,1,0.01
misc3,best_b,True,False,kkkjjjiii,2,0.18181818181818182,27,0.27
misc3,best_b,True,False,kkkkjjjii,0,0.0,1,0.01
misc5,best_a,True,False,flz,2,1.0,53,0.53
misc5,best_a,True,False,hlz,0,0.0,47,0.47
misc5,best_b,True,False,abd,0,0.0,1,0.01
misc5,best_b,True,False,dlz,0,0.0,4,0.04
misc5,best_b,True,False,flz,2,1.0,38,0.38
misc5,best_b,True,False,gld,0,0.0,1,0.01
misc5,best_b,True,False,hlz,0,0.0,56,0.56
misc2,best_a,True,False,ijl,2,1.0,100,1.0
misc2,best_b,True,False,abd,0,0.0,5,0.05
misc2,best_b,True,False,ijd,0,0.0,3,0.03
misc2,best_b,True,False,ijl,2,1.0,92,0.92
run1,best_a,False,False,lrrjjj,1,0.0005,0,0.0
run1,best_a,False,False,mrrjjjj,1614,0.807,83,0.83
run1,best_a,False,False,mrrjjk,141,0.0705,5,0.05
run1,best_a,False,False,mrrjkk,9,0.0045,0,0.0
run1,best_a,False,False,mrrkkk,205,0.1025,11,0.11
run1,best_a,False,False,msskkk,30,0.015,1,0.01
run1,best_b,False,False,abd,423,0.2115,20,0.2
run1,best_b,False,False,mrrjjd,1,0.0005,0,0.0
run1,best_b,False,False,mrrjjj,1,0.0005,0,0.0
run1,best_b,False,False,mrrjjjj,1387,0.6935,73,0.73
run1,best_b,False,False,mrrjjk,70,0.035,2,0.02
run1,best_b,False,False,mrrkkk,86,0.043,5,0.05
run1,best_b,False,False,msskkk,32,0.016,0,0.0
run4,best_a,False,False,dyz,5,0.0025012506253126563,0,0.0
run4,best_a,False,False,wyz,1172,0.5862931465732867,58,0.58
run4,best_a,False,False,xyd,3,0.0015007503751875938,2,0.02
run4,best_a,False,False,xyz,1,0.0005002501250625312,0,0.0
run4,best_a,False,False,yyz,817,0.408704352176088,39,0.39
run4,best_a,False,False,yzz,1,0.0005002501250625312,1,0.01
run4,best_b,False,False,abd,14,0.007003501750875438,1,0.01
run4,best_b,False,False,wyz,1092,0.5462731365682841,59,0.59
run4,best_b,False,False,xyd,286,0.14307153576788395,8,0.08
run4,best_b,False,False,xyz,6,0.0030015007503751876,1,0.01
run4,best_b,False,False,yyz,601,0.3006503251625813,31,0.31
misc1,best_a,True,False,jjjrrm,7,0.5,76,0.76
misc1,best_a,True,False,jrrjjm,0,0.0,3,0.03
misc1,best_a,True,False,mmmrrj,3,0.21428571428571427,0,0.0
misc1,best_a,True,False,mrrjjj,4,0.2857142857142857,14,0.14
misc1,best_a,True,False,rrjjjm,0,0.0,7,0.07
misc1,best_b,True,False,cba,0,0.0,22,0.22
misc1,best_b,True,False,crraaa,0,0.0,2,0.02
misc1,best_b,True,False,jjjrrm,7,0.5,57,0.57
misc1,best_b,True,False,jrrjjm,0,0.0,9,0.09
misc1,best_b,True,False,mmmrrj,2,0.14285714285714285,1,0.01
misc1,best_b,True,False,mrraaa,0,0.0,2,0.02
misc1,best_b,True,False,mrrjjj,5,0.35714285714285715,6,0.06
misc1,best_b,True,False,rrjjjm,0,0.0,1,0.01
fig5.4-top,best_a,False,False,iiiixxi,2,0.001,0,0.0
fig5.4-top,best_a,False,False,iixxxi,1,0.0005,0,0.0
fig5.4-top,best_a,False,False,ixxi,1881,0.9405,95,0.95
fig5.4-top,best_a,False,False,ixxiiii,5,0.0025,0,0.0
fig5.4-top,best_a,False,False,ixxq,1,0.0005,0,0.0
fig5.4-top,best_a,False,False,ixxxii,1,0.0005,0,0.0
fig5.4-top,best_a,False,False,qeeq,107,0.0535,4,0.04
fig5.4-top,best_a,False,False,qiq,1,0.0005,0,0.0
fig5.4-top,best_a,False,False,qxeeq,0,0.0,1,0.01
fig5.4-top,best_a,False,False,xxixx,1,0.0005,0,0.0
fig5.4-top,best_b,False,False,iixxxi,5,0.0025,0,0.0
fig5.4-top,best_b,False,False,ixi,2,0.001,0,0.0
fig5.4-top,best_b,False,False,ixii,1,0.0005,0,0.0
fig5.4-top,best_b,False,False,ixq,1,0.0005,0,0.0
fig5.4-top,best_b,False,False,ixxi,768,0.384,38,0.38
fig5.4-top,best_b,False,False,ixxii,1,0.0005,0,0.0
fig5.4-top,best_b,False,False,ixxiiii,3,0.0015,0,0.0
fig5.4-top,best_b,False,False,ixxq,78,0.039,7,0.07
fig5.4-top,best_b,False,False,ixxxi,1,0.0005,0,0.0
fig5.4-top,best_b,False,False,ixxxii,3,0.0015,0,0.0
fig5.4-top,best_b,False,False,qeeq,1009,0.5045,50,0.5
fig5.4-top,best_b,False,False,qeexq,1,0.0005,0,0.0
fig5.4-top,best_b,False,False,qexq,1,0.0005,0,0.0
fig5.4-top,best_b,False,False,qiiq,6,0.003,0,0.0
fig5.4-top,best_b,False,False,qiq,4,0.002,0,0.0
fig5.4-top,best_b,False,False,qiqq,1,0.0005,0,0.0
fig5.4-top,best_b,False,False,qixx,1,0.0005,0,0.0
fig5.4-top,best_b,False,False,qqxeeq,1,0.0005,0,0.0
fig5.4-top,best_b,False,False,qxeq,1,0.0005,0,0.0
fig5.4-top,best_b,False,False,qxi,1,0.0005,0,0.0
fig5.4-top,best_b,False,False,qxxi,105,0.0525,4,0.04
fig5.4-top,best_b,False,False,qxxxi,1,0.0005,0,0.0
fig5.4-top,best_b,False,False,xiix,1,0.0005,0,0.0
fig5.4-top,best_b,False,False,xxiq,2,0.001,0,0.0
fig5.4-top,best_b,False,False,xxixx,1,0.0005,1,0.01
fig5.4-top,best_b,False,False,xxxix,1,0.0005,0,0.0
eqe-baaab,best_a,False,False,abbba,108,0.054,6,0.06
eqe-baaab,best_a,False,False,baaab,1886,0.943,94,0.94
eqe-baaab,best_a,False,False,baacb,1,0.0005,0,0.0
eqe-baaab,best_a,False,False,baccb,1,0.0005,0,0.0
eqe-baaab,best_a,False,False,bcaab,3,0.0015,0,0.0
eqe-baaab,best_a,False,False,bccab,1,0.0005,0,0.0
eqe-baaab,best_b,False,False,abbba,50,0.025,3,0.03
eqe-baaab,best_b,False,False,abbbq,7,0.0035,1,0.01
eqe-baaab,best_b,False,False,baaab,1180,0.59,63,0.63
eqe-baaab,best_b,False,False,baaaq,66,0.033,1,0.01
eqe-baaab,best_b,False,False,baccb,1,0.0005,0,0.0
eqe-baaab,best_b,False,False,bcaab,1,0.0005,0,0.0
eqe-baaab,best_b,False,False,pqqqq,1,0.0005,0,0.0
eqe-baaab,best_b,False,False,qaaab,41,0.0205,2,0.02
eqe-baaab,best_b,False,False,qaacb,1,0.0005,0,0.0
eqe-baaab,best_b,False,False,qbabb,1,0.0005,0,0.0
eqe-baaab,best_b,False,False,qbbba,5,0.0025,1,0.01
eqe-baaab,best_b,False,False,qbbbq,47,0.0235,5,0.05
eqe-baaab,best_b,False,False,qeeeq,551,0.2755,21,0.21
eqe-baaab,best_b,False,False,qeeqp,1,0.0005,0,0.0
eqe-baaab,best_b,False,False,qeerq,1,0.0005,0,0.0
eqe-baaab,best_b,False,False,qeq,44,0.022,2,0.02
eqe-baaab,best_b,False,False,qrbbq,2,0.001,0,0.0
eqe-baaab,best_b,False,False,qreeq,0,0.0,1,0.01
run6,best_a,True,False,baaab,2,0.09523809523809523,9,0.09
run6,best_a,True,False,bcaab,0,0.0,2,0.02
run6,best_a,True,False,bcccb,2,0.09523809523809523,15,0.15
run6,best_a,True,False,cbbba,6,0.2857142857142857,15,0.15
run6,best_a,True,False,cdbba,0,0.0,1,0.01
run6,best_a,True,False,cddda,3,0.14285714285714285,4,0.04
run6,best_a,True,False,pqqeq,0,0.0,1,0.01
run6,best_a,True,False,qbbbq,0,0.0,2,0.02
run6,best_a,True,False,qcccb,0,0.0,1,0.01
run6,best_a,True,False,qeeeq,8,0.38095238095238093,50,0.5
run6,best_b,True,False,baaab,0,0.0,2,0.02
run6,best_b,True,False,baaaq,1,0.047619047619047616,7,0.07
run6,best_b,True,False,bcccb,0,0.0,1,0.01
run6,best_b,True,False,cbbba,1,0.047619047619047616,2,0.02
run6,best_b,True,False,cddda,1,0.047619047619047616,0,0.0
run6,best_b,True,False,pqqeq,0,0.0,1,0.01
run6,best_b,True,False,qbbbc,0,0.0,2,0.02
run6,best_b,True,False,qbbbq,0,0.0,5,0.05
run6,best_b,True,False,qcccb,0,0.0,10,0.1
run6,best_b,True,False,qeeeq,17,0.8095238095238095,67,0.67
run6,best_b,True,False,qeq,1,0.047619047619047616,3,0.03
run3,best_a,True,False,uyz,0,0.0,1,0.01
run3,best_a,True,False,wyz,2,1.0,55,0.55
run3,best_a,True,False,xyu,0,0.0,1,0.01
run3,best_a,True,False,yyz,0,0.0,43,0.43
run3,best_b,True,False,rsu,0,0.0,2,0.02
run3,best_b,True,False,wyz,0,0.0,32,0.32
run3,best_b,True,False,xyu,2,1.0,46,0.46
run3,best_b,True,False,xyz,0,0.0,12,0.12
run3,best_b,True,False,yyz,0,0.0,8,0.08
run2,best_a,True,False,mrrjjk,0,0.0,14,0.14
run2,best_a,True,False,mrrjkk,0,0.0,9,0.09
run2,best_a,True,False,mrrkkk,2,1.0,77,0.77
run2,best_b,True,False,mrrjjk,0,0.0,22,0.22
run2,best_b,True,False,mrrjkk,0,0.0,6,0.06
run2,best_b,True,False,mrrkkk,2,1.0,72,0.72
copy1,best_a,True,True,c,2,1.0,100,1.0
copy1,best_b,True,True,c,2,1.0,100,1.0
copy2,best_a,True,True,d,2,1.0,100,1.0
copy2,best_b,True,True,d,2,1.0,100,1.0
copy3,best_a,True,True,z,2,1.0,100,1.0
copy3,best_b,True,True,z,2,1.0,100,1.0
copy4,best_a,True,False,x,2,1.0,100,1.0
copy4,best_b,True,False,x,2,1.0,100,1.0
copy5,best_a,True,False,aac,0,0.0,1,0.010416666666666666
copy5,best_a,True,False,cbc,0,0.0,1,0.010416666666666666
copy5,best_a,True,False,cc,2,1.0,94,0.9791666666666666
copy5,best_b,True,False,aac,0,0.0,3,0.03125
copy5,best_b,True,False,cc,2,1.0,93,0.96875
copy6,best_a,True,False,d,2,1.0,100,1.0
copy6,best_b,True,False,d,2,1.0,100,1.0
